test_id,guid,test_date,received_date,desktop_device_id,platform,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,isp_name,is_isp,connection_type,location_type,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,postal_code,client_ipv6_address
113949111,"511EEF339C2041DE8228413DA6030FCE","2019-07-01 00:05:51","2019-07-01 00:06:24","7723813","5","45.160.xxx.xxx",29348,12828,17,"Palhoca","Brazil","BR",-27.6466,-48.6704,"Fast Network","Mirix Telecom","1","22","1","Brazil","BR","State of Santa Catarina","SC","Palhoca",-27.633,-48.666,0.947491,"Pte. do Imaruim, Palhoça - SC, Brazil","Palhoça","locality","Brazil","BR","State of Santa Catarina","Palhoça","","88130",""
113949112,"027D1678FA3A472E9995B8DF0839B690","2019-07-01 00:05:49","2019-07-01 00:06:24","3568858","5","197.91.xxx.xxx",19691,6503,2,"Johannesburg","South Africa","ZA",-26.2041,28.0473,"Misaka Network, Inc.","OPTINET","1","22","1","South Africa","ZA","Gauteng","GT","Germiston",-26.216,28.183,8.48476,"Germiston, South Africa","Germiston","locality","South Africa","ZA","Gauteng","East Rand","East Rand","2145",""
113949113,"36327C76ADBA41BF83FA98AF26FBF334","2019-07-01 00:05:49","2019-07-01 00:06:25","7656892","5","124.176.xxx.xxx",16867,18182,10,"Gold Coast","Australia","AU",-28.0160,153.0167,"Telstra","Telstra Internet","1","22","1","Australia","AU","Queensland","QLD","Greenbank",-27.716,152.983,20.8032,"Greenbank QLD 4124, Australia","Greenbank","locality","Australia","AU","Queensland","Logan City","","4124",""
113949114,"183500E2F57E4D0698DEB0C14345F607","2019-07-01 00:05:49","2019-07-01 00:06:25","6785382","5","154.70.xxx.xxx",218,12990,9,"Nelspruit","South Africa","ZA",-25.4753,30.9694,"Xpress Connect","Xpressnet","1","2","2","South Africa","ZA","Mpumalanga","MP","Nelspruit",-25.466,30.966,0.618327,"Nelspruit, South Africa","Nelspruit","locality","South Africa","ZA","Mpumalanga","Ehlanzeni","Mbombela","",""
113949115,"A7BAC579B1C3427286C81E9F10B2AFC2","2019-07-01 00:05:50","2019-07-01 00:06:25","4753062","5","1.143.xxx.xxx",5471,886,19,"Perth","Australia","AU",-31.9554,115.8585,"Telstra","Telstra Internet","1","22","2","Australia","AU","Western Australia","WA","Perth",-31.952,115.861,0.279215,"Perth WA, Australia","Perth","locality","Australia","AU","Western Australia","","","","2001:8004:18ea:af8x:xxxx:xxxx:xxxx:xxxx"
113949116,"4B7BDDE30AC942699417CFBDEF57E044","2019-07-01 00:05:54","2019-07-01 00:06:26","7475066","5","37.111.xxx.xxx",574,505,32,"Yangon","Republic of the Union of Myanmar","MM",16.8000,96.1500,"Telenor Myanmar","Telenor Myanmar","1","22","2","Republic of the Union of Myanmar","MM","Yangon Region","06","Yangon",16.783,96.166,1.59915,"Yangon, Myanmar (Burma)","Yangon","locality","Myanmar (Burma)","MM","Yangon Region","","","",""
113949117,"209EA73DBAF442879A5EFE807ED80B35","2019-07-01 00:05:52","2019-07-01 00:06:26","2798295","5","86.185.xxx.xxx",64061,31982,5,"London","Great Britain","GB",51.5171,-0.1062,"Vox Telecom","BT","1","22","1","United Kingdom","GB","Essex","ESS","Galleywood",51.700,0.466,27.6713,"Chelmsford, Essex CM2, UK","Galleywood","administrative_area_level_4","United Kingdom","GB","England","Essex","Chelmsford, Galleywood","CM2",""
113949118,"ACEFAED6E8184F20A08FD6701A054E50","2019-07-01 00:05:53","2019-07-01 00:06:27","7693274","5","88.113.xxx.xxx",25857,20248,14,"Helsinki","Finland","FI",60.1708,24.9375,"Elisa Oyj","Elisa Oyj","1","2","2","Finland","FI","Uusimaa","18","Helsinki",60.222,24.861,4.46146,"Helsinki, Finland","Helsinki","locality","Finland","FI","Uusimaa","Helsinki","Helsinki","00240",""
113949119,"5C0FFD0FA65741CDBDDDAB0B885F5185","2019-07-01 00:05:53","2019-07-01 00:06:27","5974380","5","104.159.xxx.xxx",215978,35154,9,"St Cloud, MN","United States","US",45.5574,-94.1859,"Spectrum","Spectrum","1","22","2","United States","US","Minnesota","MN","Saint Cloud",45.580,-94.208,1.94876,"St Cloud, MN, USA","Saint Cloud","locality","United States","US","Minnesota","Stearns County","","56301",""
113949120,"04488AD5C25E47C884B8880F211EAFE9","2019-07-01 00:06:16","2019-07-01 00:06:29","5023713","4","172.58.xxx.xxx",0,0,26,"Suwanee, GA","United States","US",34.0515,-84.0713,"QTS Data Centers","UNKNOWN","","2","2","United States","US","Georgia","GA","Norcross",33.939,-84.207,11.0143,"","","","","","","","","",""
113949121,"05AC8828DF14430BA76EFFAE1F24B141","2019-07-01 00:05:03","2019-07-01 00:06:29","2776859","5","217.145.xxx.xxx",7090,7222,2,"Zheleznogorsk","Russian Federation","RU",52.3333,35.3667,"Signal Service LLC","MTS PJSC","1","2","2","Russia","RU","Kursk Oblast","KRS","Zheleznogorsk",52.337,35.361,0.374725,"Veretenino, Kurskaya oblast', Russia, 307156","Veretenino","locality","Russia","RU","Kursk Oblast","Zheleznogorsky District","","307156",""
