test_id,iphone_device_id,test_date,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,pre_connection_type,post_connection_type,isp_name,is_isp,network_operator_name,iso_country_code,mcc,mnc,model,version,location_type,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code,client_ipv6_address,client_latitude_start,client_longitude_start,location_type_start
3319394647,153190239,"2019-07-01 00:01:56","103.7.xxx.xxx",3492,5903,35,"Ho Chi Minh City","Vietnam","VN",10.7500,106.6667,"DCNET","Vietnam","VN","Ho Chi Minh","SG","Ho Chi Minh City",10.766,106.701,2.65293,6,6,"Vietnamobile Telecommunications Joint Stock Compan","1","Carrier","VN","452","5","iPhone XS","12.3.1",1,"Ho Chi Minh City, Ho Chi Minh 70000, Vietnam","Ho Chi Minh City","locality","Vietnam","VN","Ho Chi Minh","","","","","10.76680","106.70180",1
3319394654,170654431,"2019-07-01 00:01:56","175.158.xxx.xxx",1842,7409,45,"Baguio City","Philippines","PH",16.4023,120.5960,"Smart Communications Inc.","Philippines","PH","Central Luzon","03","Angeles City",15.151,120.584,86.5357,12,12,"Smart Broadband","1","Smart","PH","515","3","iPhone 6 Plus","12.3.1",2,"Angeles, Pampanga, Philippines","Angeles","locality","Philippines","PH","Central Luzon","Pampanga","","","","16.41240","120.59330",2
3319394663,91321589,"2019-07-01 00:01:57","42.153.xxx.xxx",8202,6521,30,"Kuala Lumpur","Malaysia","MY",3.1357,101.6880,"Telekom Malaysia Berhad","Malaysia","MY","Pahang","06","Kuantan",3.779,103.235,115.774,12,12,"Webe Digital Sdn. Bhd.","1","Carrier","my","502","153","iPhone5S","11.4.1",1,"Kuantan, Pahang, Malaysia","Kuantan","locality","Malaysia","MY","Pahang","Kuantan","","25150","","3.78413","103.23435",1
3319394667,170596427,"2019-07-01 00:01:58","5.113.xxx.xxx",30123,6412,29,"Tehran","Iran","IR",35.6833,51.4167,"MTNIrancell","Iran","IR","Tehran","07","Eslamshahr",35.523,51.357,11.5635,12,12,"Iran Cell Service and Communication Company","1","Carrier","IR","432","35","iPhone 6S","12.2",1,"Kahrizak, Tehran, Iran","Kahrizak","locality","Iran","IR","Tehran","Eslamshahr","","","","35.52323","51.35739",1
3319394677,154956990,"2019-07-01 00:01:58","5.184.xxx.xxx",165411,40948,18,"Warsaw","Poland","PL",52.2323,21.0084,"Orange Polska S.A.","Poland","PL","Masovian Voivodeship","MZ","Warsaw",52.250,21.000,1.27498,12,12,"Orange mobile","1","Orange","PL","260","3","iPhone X","12.3.1",2,"02, Poland","Warsaw","locality","Poland","PL","Masovian Voivodeship","Warszawa","Warszawa","02","","52.25000","21.00000",2
3319394680,167799312,"2019-07-01 00:01:59","51.36.xxx.xxx",55405,6974,21,"Riyadh","Saudi Arabia","SA",24.6500,46.7100,"Saudi Telecom Company (STC)","Saudi Arabia","SA","Riyadh Province","01","Riyadh",24.753,46.861,11.9064,12,12,"Zain Saudi Arabia","1","Zain KSA","SA","420","4","iPhone 6","12.3.1",1,"Riyadh Saudi Arabia","Riyadh","locality","Saudi Arabia","SA","Riyadh Province","","","14611","","24.75355","46.86135",1
3319394683,154884679,"2019-07-01 00:01:59","117.136.xxx.xxx",33022,4581,26,"Guangzhou","CN","CN",23.1333,113.2667,"ChinaTelecom-GZ","China","CN","Guangdong","GD","Guangzhou",23.144,113.319,3.42709,12,12,"China Mobile Guangdong","1","中国移动","CN","460","0","iPhone 7 Plus","11.4.1",1,"Tianhebei, Guangzhou, Guangdong, China","Tianhebei","neighborhood","China","CN","Guangdong","Guangzhou","","510645","","","",0
3319394689,101798994,"2019-07-01 00:01:59","213.205.xxx.xxx",61748,22663,48,"Haverfordwest","United Kingdom","GB",51.8005,-4.9713,"Dragon WiFi LTD","United Kingdom","GB","Pembrokeshire","PEM","Pembroke",51.673,-4.892,9.41608,12,12,"EE Mobile","1","EE","GB","234","30","iPhone 6S","12.2",1,"SA71, UK","Pembroke","locality","United Kingdom","GB","Wales","Pembrokeshire","Pembroke","SA71","","","",0
3319394694,130196274,"2019-07-01 00:02:00","82.239.xxx.xxx",95,11766,31,"Paris","France","FR",48.8742,2.3470,"Orange","France","FR","Nouvelle-Aquitaine","NAQ","Poitiers",46.590,0.354,183.139,12,12,"Free SAS","1","Orange France","FR","208","1","iPhone X","12.3.1",1,"Poitiers, France","Poitiers","locality","France","FR","Poitou-Charentes","Vienne","","86000","","46.58375","0.34946",1
3319394696,170654433,"2019-07-01 00:02:01","109.40.xxx.xxx",39469,5525,30,"Frankfurt","Germany","DE",50.1109,8.6821,"Vodafone Kabel Deutschland","Germany","DE","Hesse","HE","Frankfurt am Main",50.125,8.686,1.00803,12,12,"Vodafone GmbH","1","Vodafone.de","DE","262","2","iPhone XS","12.3.1",2,"Frankfurt, Germany","Frankfurt","locality","Germany","DE","Hesse","Darmstadt","","60318","","50.12520","8.68650",2
